series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Low income,DALY,ETS,2011,3,77614.70469012935,74495.14286118983,70875.06362336593,78115.22209901373,3119.5618289395206,3119.5618289395206,4.019292273795446,1,1422.2675799606761,2.193371959603953
Low income,DALY,ETS,2011,4,81876.13440425383,77061.55187924078,71852.00138290206,82271.1023755795,4814.582525013044,4814.582525013044,5.8803246636457045,1,1422.2675799606761,3.385145378302275
Low income,DALY,ETS,2011,5,86558.57414685565,79576.6326584586,72602.66465033007,86550.60066658714,6981.941488397046,6981.941488397046,8.06614660328329,0,1422.2675799606761,4.909021049745145
Low income,DALY,ETS,2011,6,91900.33145101141,82041.41176478943,73154.12437290333,90928.69915667553,9858.919686221983,9858.919686221983,10.727839095419803,0,1422.2675799606761,6.9318318332859485
Low income,DALY,ARIMA,2011,1,69514.45255068582,69314.5771612397,68414.26115490643,70214.89316757295,199.87538944612606,199.87538944612606,0.28753069629713157,1,1422.2675799606761,0.1405329013065547
Low income,DALY,ARIMA,2011,2,73519.05307680668,72135.91188477002,70122.74409337773,74149.0796761623,1383.1411920366663,1383.1411920366663,1.8813370604646849,1,1422.2675799606761,0.9724901358399158
Low income,DALY,ARIMA,2011,3,77614.70469012935,74957.24660830034,71588.57257277268,78325.920643828,2657.4580818290124,2657.4580818290124,3.423910575243063,1,1422.2675799606761,1.8684656243816566
Low income,DALY,ARIMA,2011,4,81876.13440425383,77778.58133183066,72847.34747631376,82709.81518734756,4097.553072423165,4097.553072423165,5.004575633959435,1,1422.2675799606761,2.8810001227310944
Low income,DALY,ARIMA,2011,5,86558.57414685565,80599.91605536098,73922.99385128426,87276.8382594377,5958.658091494668,5958.658091494668,6.883960543741378,1,1422.2675799606761,4.189547856852236
Low income,DALY,ARIMA,2011,6,91900.33145101141,83421.2507788913,74832.78345784688,92009.71809993574,8479.080672120108,8479.080672120108,9.226387476785092,1,1422.2675799606761,5.961663467260179
Low income,DALY,Naive,2011,1,69514.45255068582,66493.24243770937,63228.664227812005,69757.82064760673,3021.2101129764487,3021.2101129764487,4.346161124945293,1,1422.2675799606761,2.1242206147031637
Low income,DALY,Naive,2011,2,73519.05307680668,66493.24243770937,61876.431657844834,71110.0532175739,7025.810639097312,7025.810639097312,9.556448764046674,0,1422.2675799606761,4.939865562633134
Low income,DALY,Naive,2011,3,77614.70469012935,66493.24243770937,60838.82711288488,72147.65776253385,11121.46225241998,11121.46225241998,14.329065989262665,0,1422.2675799606761,7.819528764571484
